player_id,season,player_name,team,position,position_group,race,race_source,confidence,notes
00-0002166,2000,Ray Buchanan,ATL,DB,DB,Other/Unknown,Not classified,Low,
00-0003661,2000,Ray Crockett,DEN,DB,DB,Other/Unknown,Not classified,Low,
00-0019096,2000,Ray Green,CAR,DB,DB,Other/Unknown,Not classified,Low,
00-0007452,2000,Ray Hill,MIA,DB,DB,Other/Unknown,Not classified,Low,
00-0007452,2000,Ray Hill,BUF,DB,DB,Other/Unknown,Not classified,Low,
00-0010828,2000,Ray McElroy,CHI,DB,DB,Other/Unknown,Not classified,Low,
00-0011186,2000,Ray Mickens,NYJ,DB,DB,Other/Unknown,Not classified,Low,
00-0008178,2000,Raymond Jackson,CLE,DB,DB,Other/Unknown,Not classified,Low,
00-0015705,2000,Rayna Stewart,JAX,DB,DB,Other/Unknown,Not classified,Low,
00-0019476,2000,Reggie Austin,CHI,DB,DB,Other/Unknown,Not classified,Low,
00-0019101,2000,Reggie Howard,CAR,DB,DB,Other/Unknown,Not classified,Low,
00-0019101,2000,Reggie Howard,NO,DB,DB,Other/Unknown,Not classified,Low,
00-0014179,2000,Reggie Rusk,SD,DB,DB,Other/Unknown,Not classified,Low,
00-0015648,2000,Reggie Stephens,NYG,DB,DB,Other/Unknown,Not classified,Low,
00-0016549,2000,Reggie Tongue,SEA,DB,DB,Other/Unknown,Not classified,Low,
00-0003139,2000,Rich Coady,STL,DB,DB,Other/Unknown,Not classified,Low,
00-0009120,2000,Rob Kelly,NO,DB,DB,Other/Unknown,Not classified,Low,
00-0000601,2000,Robert Bailey,BAL,DB,DB,Other/Unknown,Not classified,Low,
00-0019479,2000,Robert Bean,CIN,DB,DB,Other/Unknown,Not classified,Low,
00-0006459,2000,Robert Griffith,MIN,DB,DB,Other/Unknown,Not classified,Low,
00-0016061,2000,Robert Tate,MIN,DB,DB,Other/Unknown,Not classified,Low,
00-0018229,2000,Rod Woodson,BAL,DB,DB,Other/Unknown,Not classified,Low,
00-0007030,2000,Rodney Harrison,SD,DB,DB,Other/Unknown,Not classified,Low,
00-0007186,2000,Rodney Heath,CIN,DB,DB,Other/Unknown,Not classified,Low,
00-0019531,2000,Rodregis Brooks,IND,DB,DB,Other/Unknown,Not classified,Low,
00-0019701,2000,Rogers Beckett,SD,DB,DB,Other/Unknown,Not classified,Low,
00-0013643,2000,Ron Rice,DET,DB,DB,Other/Unknown,Not classified,Low,
00-0000741,2000,Ronde Barber,TB,DB,DB,Other/Unknown,Not classified,Low,
00-0001630,2000,Ronnie Bradford,ATL,DB,DB,Other/Unknown,Not classified,Low,
00-0019070,2000,Ronnie Heard,SF,DB,DB,Other/Unknown,Not classified,Low,
00-0011038,2000,Ryan McNeil,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0015711,2000,Ryan Stewart,DET,DB,DB,Other/Unknown,Not classified,Low,
00-0005785,2000,Sam Garnes,NYG,DB,DB,Other/Unknown,Not classified,Low,
00-0010264,2000,Sam Madison,MIA,DB,DB,Other/Unknown,Not classified,Low,
00-0014692,2000,Sam Shade,WAS,DB,DB,Other/Unknown,Not classified,Low,
00-0013995,2000,Samari Rolle,TEN,DB,DB,Other/Unknown,Not classified,Low,
00-0009357,2000,Sammy Knight,NO,DB,DB,Other/Unknown,Not classified,Low,
00-0005609,2000,Scott Frost,NYJ,DB,DB,Other/Unknown,Not classified,Low,
00-0010844,2000,Scott McGarrahan,GB,DB,DB,Other/Unknown,Not classified,Low,
00-0014810,2000,Scott Shields,PIT,DB,DB,Other/Unknown,Not classified,Low,
00-0016739,2000,Scott Turner,SD,DB,DB,Other/Unknown,Not classified,Low,
00-0019337,2000,Sean Key,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0018934,2000,Shadwick Criss,JAX,DB,DB,Other/Unknown,Not classified,Low,
00-0017930,2000,Shaun Williams,NYG,DB,DB,Other/Unknown,Not classified,Low,
00-0015495,2000,Shawn Springs,SEA,DB,DB,Other/Unknown,Not classified,Low,
00-0018194,2000,Shawn Wooden,CHI,DB,DB,Other/Unknown,Not classified,Low,
00-0015302,2000,Shevin Smith,STL,DB,DB,Other/Unknown,Not classified,Low,
00-0008063,2000,Steve Israel,NO,DB,DB,Other/Unknown,Not classified,Low,
00-0000231,2000,Taje Allen,STL,DB,DB,Other/Unknown,Not classified,Low,
00-0008874,2000,Tebucky Jones,NE,DB,DB,Other/Unknown,Not classified,Low,
00-0014743,2000,Terrance Shaw,MIA,DB,DB,Other/Unknown,Not classified,Low,
00-0002185,2000,Terrell Buckley,DEN,DB,DB,Other/Unknown,Not classified,Low,
00-0003547,2000,Terry Cousin,ATL,DB,DB,Other/Unknown,Not classified,Low,
